```tsv
"Sept 30, 2021","Equity interest in %"
"Varian Medical Systems Netherlands Holdings, Inc., Wilmington, DE/United States",100
"Varian Medical Systems Pacific, Inc., Wilmington, DE/United States",100
"Varian Medical Systems Puerto Rico, LLC, Guaynabo/Puerto Rico",100
"Varian Medical Systems, Inc., Wilmington, DE/United States",100
"Asia, Australia (51 companies)",51
"Acrorad Co., Ltd., Okinawa/Japan",96
"Acuson (Shanghai) Co., Ltd., Shanghai/China",100
"Acuson Korea Ltd., Seongnam-si/Korea",100
"Acuson Singapore Pte. Ltd., Singapore/Singapore",100
"American Institute of Pathology and Laboratory Sciences Private Limited, Hyderabad/India",100
"Artmed Healthcare Private Limited, Hyderabad/India",100
"Asiri A O I Cancer Centre (Private) Limited, Colombo/Sri Lanka",50
"Cancer Treatment Services Hyderabad Private Limited, Hyderabad/India",100
"Fang Chi Health Management Co., Ltd, Taipei/Taiwan, Province of China",100
"Hangzhou Alicon Pharm Sci & Tec Co., Ltd., Hangzhou/China",100
"Hong Tai Health Management Co. Ltd., Taipei/Taiwan, Province of China",100
"New Century Technology Co. Ltd., Taipei/Taiwan, Province of China",100
"PETNET Radiopharmaceutical Solutions Pvt. Ltd., Mumbai/India",100
"PT Siemens Healthineers Indonesia, Jakarta/Indonesia",100
"Scion Medical Limited, Hong Kong/Hong Kong",100
"Scion Medical Technologies (Shanghai) Ltd., Shanghai/China",100
"Siemens Healthcare Diagnostics K.K., Tokyo/Japan",100
"Siemens Healthcare Diagnostics Manufacturing Ltd., Shanghai, Shanghai/China",100
"Siemens Healthcare Inc., Manila/Philippines",100
"Siemens Healthcare K.K., Tokyo/Japan",100
"Siemens Healthcare Limited, Auckland/New Zealand",100
"Siemens Healthcare Limited, Bangkok/Thailand",100
"Siemens Healthcare Limited, Ho Chi Minh City/Viet Nam",100
"Siemens Healthcare Limited, Hong Kong/Hong Kong",100
```
