Years Ended December 31 (Millions),2021,2020,2019
"Revenues,Non-interest revenues,Other",,,
"Revenues,Total non-interest revenues",$ 343,$ 480,$ 598
"Revenues,Interest income,Interest expense",96,228,692
"Revenues,Interest income,Interest expense",482,630,902
"Revenues,Total revenues net of interest expense",(43),78,388
"Expenses,Salaries and employee benefits,Other",,,
"Expenses,Salaries and employee benefits,Other",359,333,366
"Expenses,Salaries and employee benefits,Other",346,562,816
"Expenses,Total expenses",705,895,"1,182"
"Expenses,Pretax loss,Income tax benefit",(748),(817),(794)
"Expenses,Pretax loss,Income tax benefit",(248),(236),(282)
"Expenses,Net loss before equity in net income of subsidiaries and affiliates,Equity in net income of subsidiaries and affiliates",(500),(581),(512)
"Expenses,Net loss before equity in net income of subsidiaries and affiliates,Equity in net income of subsidiaries and affiliates","8,560","3,716","7,271"
"Expenses,Net income","$ 8,060","$ 3,135","$ 6,759"
